title,price,rating,category,image,image_local
The Torch Is Passed: A Harding Family Story,19.09,1,Add a comment,https://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg,/app/data/images/add-a-comment/the-torch-is-passed-a-harding-family-story-15b01fb9.jpg
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,Add a comment,https://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,/app/data/images/add-a-comment/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-fro-61548e47.jpg
The Art Forger,40.76,3,Add a comment,https://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,/app/data/images/add-a-comment/the-art-forger-66bfde1a.jpg
On a Midnight Clear,14.07,3,Add a comment,https://books.toscrape.com/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg,/app/data/images/add-a-comment/on-a-midnight-clear-b8fea2d0.jpg
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,Add a comment,https://books.toscrape.com/media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg,/app/data/images/add-a-comment/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners-c0892514.jpg
"Shobu Samurai, Project Aryoku (#3)",29.06,3,Add a comment,https://books.toscrape.com/media/cache/ae/0c/ae0ccc307568b6d7699786411f3cbcc4.jpg,/app/data/images/add-a-comment/shobu-samurai-project-aryoku-3-b6340ca4.jpg
Modern Romance,28.26,5,Add a comment,https://books.toscrape.com/media/cache/28/78/2878538a1039d9c4649110499a1393fb.jpg,/app/data/images/add-a-comment/modern-romance-f872b281.jpg
The White Queen (The Cousins' War #1),25.91,5,Add a comment,https://books.toscrape.com/media/cache/72/d8/72d861617b6d3aababe6e61e8d3c1056.jpg,/app/data/images/add-a-comment/the-white-queen-the-cousins-war-1-ed2dc98d.jpg
The Song of Achilles,37.4,5,Add a comment,https://books.toscrape.com/media/cache/66/f7/66f79b76d6c6b64fcc8110515c454e09.jpg,/app/data/images/add-a-comment/the-song-of-achilles-154c141d.jpg
The Immortal Life of Henrietta Lacks,40.67,2,Add a comment,https://books.toscrape.com/media/cache/94/ac/94ac87da7b40853013093f08356efa3b.jpg,/app/data/images/add-a-comment/the-immortal-life-of-henrietta-lacks-10685cd1.jpg
The Dovekeepers,48.78,1,Add a comment,https://books.toscrape.com/media/cache/8f/3f/8f3f4d67e30a8129577ccc4664998345.jpg,/app/data/images/add-a-comment/the-dovekeepers-034aab18.jpg
More Than Music (Chasing the Dream #1),37.61,2,Add a comment,https://books.toscrape.com/media/cache/3f/e7/3fe7073a5caac81929524d2d9488f928.jpg,/app/data/images/add-a-comment/more-than-music-chasing-the-dream-1-89a2f3e2.jpg
Code Name Verity (Code Name Verity #1),22.13,4,Add a comment,https://books.toscrape.com/media/cache/f5/58/f55886d1bf600529a35e1bd932c78ca0.jpg,/app/data/images/add-a-comment/code-name-verity-code-name-verity-1-fbeb7036.jpg
Cell,20.29,4,Add a comment,https://books.toscrape.com/media/cache/0b/97/0b97282ed82b771ed328e05386a84adb.jpg,/app/data/images/add-a-comment/cell-84c45745.jpg
Angels Walking (Angels Walking #1),34.2,2,Add a comment,https://books.toscrape.com/media/cache/50/0e/500eeb810e940424827580574e46852c.jpg,/app/data/images/add-a-comment/angels-walking-angels-walking-1-024f7b61.jpg
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,Add a comment,https://books.toscrape.com/media/cache/9b/20/9b2076ce7414103a093ce2459d089969.jpg,/app/data/images/add-a-comment/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer-ea8f6e38.jpg
A People's History of the United States,40.79,2,Add a comment,https://books.toscrape.com/media/cache/75/20/75200336c141156746000f7055df344a.jpg,/app/data/images/add-a-comment/a-peoples-history-of-the-united-states-fa40abe3.jpg
A Brush of Wings (Angels Walking #3),55.51,1,Add a comment,https://books.toscrape.com/media/cache/4d/16/4d163d43cb4aa624e599330a39abace5.jpg,/app/data/images/add-a-comment/a-brush-of-wings-angels-walking-3-eed2abb1.jpg
Rook,37.86,4,Add a comment,https://books.toscrape.com/media/cache/55/33/5533595a623c3bb947c4a5171fc2df08.jpg,/app/data/images/add-a-comment/rook-05141694.jpg
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,Add a comment,https://books.toscrape.com/media/cache/97/3a/973a2c3462a18fc90d3b9662d959df37.jpg,/app/data/images/add-a-comment/the-midnight-watch-a-novel-of-the-titanic-and-the-californian-78788509.jpg
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,Add a comment,https://books.toscrape.com/media/cache/9f/25/9f255826f354776dda9afbd5576a7add.jpg,/app/data/images/add-a-comment/the-gray-rhino-how-to-recognize-and-act-on-the-obvious-dangers-we-ignore-0621551a.jpg
The Children,11.88,3,Add a comment,https://books.toscrape.com/media/cache/d8/03/d803ab341d3020a3bb280d6135e4ae65.jpg,/app/data/images/add-a-comment/the-children-64b1936c.jpg
One with You (Crossfire #5),15.71,4,Add a comment,https://books.toscrape.com/media/cache/b8/29/b829181ae95c8f020c1ad3273192de30.jpg,/app/data/images/add-a-comment/one-with-you-crossfire-5-04b3cd0f.jpg
