title,price,rating,category,image,image_local
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Business,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,/app/data/images/business/the-dirty-little-secrets-of-getting-your-dream-job-21326574.jpg
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,Business,https://books.toscrape.com/media/cache/d0/77/d077a30042df6b916bfc8d257345c69e.jpg,/app/data/images/business/the-third-wave-an-entrepreneurs-vision-of-the-future-84f012a9.jpg
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,Business,https://books.toscrape.com/media/cache/82/93/82939ca78da0b724f16ec814849514fd.jpg,/app/data/images/business/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job-23881852.jpg
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,Business,https://books.toscrape.com/media/cache/19/aa/19aa1184a3565b1dae6092146018e109.jpg,/app/data/images/business/shoe-dog-a-memoir-by-the-creator-of-nike-0b38507f.jpg
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,Business,https://books.toscrape.com/media/cache/e2/2e/e22e4a82d97f9f0689d5295a98f5dcff.jpg,/app/data/images/business/made-to-stick-why-some-ideas-survive-and-others-die-5d58eed1.jpg
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,Business,https://books.toscrape.com/media/cache/2d/fd/2dfdc52bcdbd82dee50372bc46c83e15.jpg,/app/data/images/business/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two-01a22a51.jpg
The Art of Startup Fundraising,21.0,3,Business,https://books.toscrape.com/media/cache/b3/7b/b37be83183f1dcb759d92bda8f8998a4.jpg,/app/data/images/business/the-art-of-startup-fundraising-e24c291f.jpg
Born for This: How to Find the Work You Were Meant to Do,21.59,5,Business,https://books.toscrape.com/media/cache/aa/67/aa677a97ecdcbbde7471f1c90ed0cf6f.jpg,/app/data/images/business/born-for-this-how-to-find-the-work-you-were-meant-to-do-2590a4b4.jpg
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,Business,https://books.toscrape.com/media/cache/11/2c/112c55a6bcd401c3bd603f5ddb2e6b82.jpg,/app/data/images/business/the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it-c88823c6.jpg
"Rich Dad, Poor Dad",51.74,1,Business,https://books.toscrape.com/media/cache/18/f4/18f45d31e3892fee589e23f15d759ee3.jpg,/app/data/images/business/rich-dad-poor-dad-d1eeba70.jpg
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,3,Business,https://books.toscrape.com/media/cache/39/f1/39f167dff90d7f84f5c8dc5e05d4051b.jpg,/app/data/images/business/the-lean-startup-how-todays-entrepreneurs-use-continuous-innovation-to-create-ra-cfcb3465.jpg
Rework,44.88,2,Business,https://books.toscrape.com/media/cache/54/10/5410a58193e2373c04b3021ade78a82b.jpg,/app/data/images/business/rework-8fb39b2f.jpg
