title,price,rating,category,image,image_local
Birdsong: A Story in Pictures,54.64,3,Childrens,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,/app/data/images/childrens/birdsong-a-story-in-pictures-f269ada4.jpg
The Bear and the Piano,36.89,1,Childrens,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,/app/data/images/childrens/the-bear-and-the-piano-f09cacdf.jpg
The Secret of Dreadwillow Carse,56.13,1,Childrens,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,/app/data/images/childrens/the-secret-of-dreadwillow-carse-43102114.jpg
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,Childrens,https://books.toscrape.com/media/cache/26/32/2632a1e12f2c085fabbe022ae4cd6933.jpg,/app/data/images/childrens/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-bán-789b0dec.jpg
Little Red,13.47,3,Childrens,https://books.toscrape.com/media/cache/80/25/8025b80a40178f2a6dd4f99ad88e0fba.jpg,/app/data/images/childrens/little-red-91f72880.jpg
Walt Disney's Alice in Wonderland,12.96,5,Childrens,https://books.toscrape.com/media/cache/28/50/2850439c2ba103fb69dba9cd2dd9f0c2.jpg,/app/data/images/childrens/walt-disneys-alice-in-wonderland-ff32d386.jpg
Twenty Yawns,22.08,2,Childrens,https://books.toscrape.com/media/cache/2b/38/2b380f77723c797c0389f978afa6db58.jpg,/app/data/images/childrens/twenty-yawns-c0b1b54a.jpg
Rain Fish,23.57,3,Childrens,https://books.toscrape.com/media/cache/bb/e2/bbe26db72b8a32117bfe4981b7cc8147.jpg,/app/data/images/childrens/rain-fish-1108edb9.jpg
Once Was a Time,18.28,2,Childrens,https://books.toscrape.com/media/cache/97/12/971212afa8e4ff49d92f678bc889d8b7.jpg,/app/data/images/childrens/once-was-a-time-4d9e66ca.jpg
Luis Paints the World,53.95,3,Childrens,https://books.toscrape.com/media/cache/85/e7/85e75d5a9309da5807c82decf3d90263.jpg,/app/data/images/childrens/luis-paints-the-world-9af13fe5.jpg
Nap-a-Roo,25.08,1,Childrens,https://books.toscrape.com/media/cache/27/1f/271faa1d7561473974d12803feb1f0a1.jpg,/app/data/images/childrens/nap-a-roo-ae91b006.jpg
The Whale,35.96,4,Childrens,https://books.toscrape.com/media/cache/6c/18/6c18ea03e294bfcfe07cf531c6c5f5b3.jpg,/app/data/images/childrens/the-whale-168bff7a.jpg
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3,Childrens,https://books.toscrape.com/media/cache/4f/1e/4f1ece2500f8dbacecca42d57befca03.jpg,/app/data/images/childrens/shrunken-treasures-literary-classics-short-sweet-and-silly-b04929ba.jpg
Raymie Nightingale,34.41,2,Childrens,https://books.toscrape.com/media/cache/8f/66/8f66ec46e671d6fca79649c10c7c8f8a.jpg,/app/data/images/childrens/raymie-nightingale-5645140c.jpg
Playing from the Heart,32.38,1,Childrens,https://books.toscrape.com/media/cache/1c/eb/1cebdf525ebe970a1dc3c5a8c50eae6b.jpg,/app/data/images/childrens/playing-from-the-heart-10d60d29.jpg
