title,price,rating,category,image,image_local
The Secret Garden,15.08,4,Classics,https://books.toscrape.com/media/cache/c5/46/c5465a06182ed6ebfa40d049258a2f58.jpg,/app/data/images/classics/the-secret-garden-1257bdc1.jpg
The Metamorphosis,28.58,1,Classics,https://books.toscrape.com/media/cache/4a/1b/4a1b6e9c1af75db0dc34ae63344f6883.jpg,/app/data/images/classics/the-metamorphosis-5c90c3b7.jpg
The Pilgrim's Progress,50.26,2,Classics,https://books.toscrape.com/media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg,/app/data/images/classics/the-pilgrims-progress-7a62b2cb.jpg
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,Classics,https://books.toscrape.com/media/cache/1f/b0/1fb03cdabe6001c8a2620f65e025cbd5.jpg,/app/data/images/classics/the-hound-of-the-baskervilles-sherlock-holmes-5-3229db23.jpg
Little Women (Little Women #1),28.07,4,Classics,https://books.toscrape.com/media/cache/81/f5/81f559ebe403317226fa8b611e35ce8a.jpg,/app/data/images/classics/little-women-little-women-1-da3ceed9.jpg
Gone with the Wind,32.49,3,Classics,https://books.toscrape.com/media/cache/27/82/2782701b5c877cb063065b9fc14c5b13.jpg,/app/data/images/classics/gone-with-the-wind-622a10f4.jpg
Candide,58.63,3,Classics,https://books.toscrape.com/media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg,/app/data/images/classics/candide-e103b25a.jpg
Animal Farm,57.22,3,Classics,https://books.toscrape.com/media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg,/app/data/images/classics/animal-farm-1b987db0.jpg
Wuthering Heights,17.73,3,Classics,https://books.toscrape.com/media/cache/93/4e/934e966c1ddf559d3ac2b5c1407aaf1e.jpg,/app/data/images/classics/wuthering-heights-85a5bfc1.jpg
The Picture of Dorian Gray,29.7,2,Classics,https://books.toscrape.com/media/cache/a6/72/a67245346daa38c2b23a4fc64c6e7115.jpg,/app/data/images/classics/the-picture-of-dorian-gray-711605d6.jpg
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,Classics,https://books.toscrape.com/media/cache/42/c4/42c48f11b7e70a0f76c5ba9cb5c5018a.jpg,/app/data/images/classics/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition-80813563.jpg
Beowulf,38.35,2,Classics,https://books.toscrape.com/media/cache/dd/6e/dd6e7b84e99f3b4b5655ea0db74af2b4.jpg,/app/data/images/classics/beowulf-9c5a3b50.jpg
And Then There Were None,35.01,2,Classics,https://books.toscrape.com/media/cache/21/bf/21bf2eb0bff3134837def8bd40845ba0.jpg,/app/data/images/classics/and-then-there-were-none-2f609118.jpg
The Story of Hong Gildong,43.19,4,Classics,https://books.toscrape.com/media/cache/ab/16/ab16eb035cc58809a73c4699477de9cb.jpg,/app/data/images/classics/the-story-of-hong-gildong-c0f79754.jpg
The Little Prince,45.42,2,Classics,https://books.toscrape.com/media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg,/app/data/images/classics/the-little-prince-ae9b0533.jpg
Sense and Sensibility,37.46,1,Classics,https://books.toscrape.com/media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg,/app/data/images/classics/sense-and-sensibility-82265f83.jpg
Of Mice and Men,47.11,2,Classics,https://books.toscrape.com/media/cache/0f/ca/0fca4597765ffacdb7bd529fc5eb88fa.jpg,/app/data/images/classics/of-mice-and-men-7b76b9f3.jpg
Emma,32.93,2,Classics,https://books.toscrape.com/media/cache/09/63/09638baaef52f03827c215029c632a13.jpg,/app/data/images/classics/emma-b59f03c8.jpg
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1,Classics,https://books.toscrape.com/media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg,/app/data/images/classics/alice-in-wonderland-alices-adventures-in-wonderland-1-fac306fa.jpg
