title,price,rating,category,image,image_local
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Default,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,/app/data/images/default/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woo-815426c6.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Default,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,/app/data/images/default/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-be-fba1451e.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Default,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,/app/data/images/default/starving-hearts-triangular-trade-trilogy-1-9b08d3c4.jpg
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,Default,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,/app/data/images/default/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-john-80b953e0.jpg
Aladdin and His Wonderful Lamp,53.13,3,Default,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,/app/data/images/default/aladdin-and-his-wonderful-lamp-bf35826d.jpg
Penny Maybe,33.29,3,Default,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,/app/data/images/default/penny-maybe-abc2195f.jpg
Maude (1883-1993):She Grew Up with the country,18.02,2,Default,https://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,/app/data/images/default/maude-1883-1993she-grew-up-with-the-country-3911c616.jpg
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,Default,https://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,/app/data/images/default/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer-b888058d.jpg
Soul Reader,39.58,2,Default,https://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,/app/data/images/default/soul-reader-a212a8f8.jpg
Bossypants,49.46,2,Default,https://books.toscrape.com/media/cache/27/d2/27d20361745ec2f7be668b18a4da29da.jpg,/app/data/images/default/bossypants-3e7c0bdb.jpg
A World of Flavor: Your Gluten Free Passport,42.95,1,Default,https://books.toscrape.com/media/cache/78/2e/782e315667ec50759b8603527ee33dec.jpg,/app/data/images/default/a-world-of-flavor-your-gluten-free-passport-60faed45.jpg
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,Default,https://books.toscrape.com/media/cache/08/89/088995e862aac86c88c608d763f6390e.jpg,/app/data/images/default/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations-09169bdd.jpg
Tracing Numbers on a Train,41.6,3,Default,https://books.toscrape.com/media/cache/06/a6/06a6cfcf89afd1601cbba1a16cda57fb.jpg,/app/data/images/default/tracing-numbers-on-a-train-4f5c069d.jpg
Thirteen Reasons Why,52.72,1,Default,https://books.toscrape.com/media/cache/8a/83/8a83b6ce350f01bab21f85e6ba539316.jpg,/app/data/images/default/thirteen-reasons-why-92b35307.jpg
The Secret (The Secret #1),27.37,4,Default,https://books.toscrape.com/media/cache/4e/0f/4e0f05ae01d8fb6bd0d3901edd06de16.jpg,/app/data/images/default/the-secret-the-secret-1-a63c5959.jpg
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,Default,https://books.toscrape.com/media/cache/34/f5/34f5f8e513c5f048241f5695e61b2483.jpg,/app/data/images/default/the-psychopath-test-a-journey-through-the-madness-industry-436d9fdd.jpg
The Kite Runner,41.82,4,Default,https://books.toscrape.com/media/cache/58/9d/589d73503d9a23d224de836134fae553.jpg,/app/data/images/default/the-kite-runner-fe510f2e.jpg
The Girl on the Train,55.02,2,Default,https://books.toscrape.com/media/cache/25/6c/256c946dd0962095f66c6de3b15ab300.jpg,/app/data/images/default/the-girl-on-the-train-fa8f8e77.jpg
The Emerald Mystery,23.15,2,Default,https://books.toscrape.com/media/cache/81/58/81586cd0bf8743e1f5ed80b6a0e1fabe.jpg,/app/data/images/default/the-emerald-mystery-45f171ea.jpg
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,Default,https://books.toscrape.com/media/cache/fe/b7/feb764b2afa54991cfdbbffdf501b333.jpg,/app/data/images/default/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-an-c3016169.jpg
The Art of War,33.34,5,Default,https://books.toscrape.com/media/cache/6d/71/6d71e36c8b1b9c885e1bb6c72cd8bcf8.jpg,/app/data/images/default/the-art-of-war-cd8f0880.jpg
