title,price,rating,category,image,image_local
Unicorn Tracks,18.78,3,Fantasy,https://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,/app/data/images/fantasy/unicorn-tracks-23ba7fa5.jpg
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,Fantasy,https://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,/app/data/images/fantasy/saga-volume-6-saga-collected-editions-6-ef935384.jpg
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Fantasy,https://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg,/app/data/images/fantasy/princess-between-worlds-wide-awake-princess-5-3f289a79.jpg
Masks and Shadows,56.4,2,Fantasy,https://books.toscrape.com/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg,/app/data/images/fantasy/masks-and-shadows-df9d4256.jpg
Crown of Midnight (Throne of Glass #2),43.29,3,Fantasy,https://books.toscrape.com/media/cache/66/25/6625e3bbb050de3e42a0c302c0d69f1f.jpg,/app/data/images/fantasy/crown-of-midnight-throne-of-glass-2-18a5e0f7.jpg
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,Fantasy,https://books.toscrape.com/media/cache/06/18/061811c5845d0e13bc04b2a755f0830f.jpg,/app/data/images/fantasy/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3-67c280e5.jpg
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,Fantasy,https://books.toscrape.com/media/cache/c0/88/c08816960890396213a423941af65b8f.jpg,/app/data/images/fantasy/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1-fd012192.jpg
Throne of Glass (Throne of Glass #1),35.07,3,Fantasy,https://books.toscrape.com/media/cache/32/d6/32d6aa560e8ddf2a4da1526b95d4c7ab.jpg,/app/data/images/fantasy/throne-of-glass-throne-of-glass-1-8df6f2cd.jpg
The Glittering Court (The Glittering Court #1),44.28,1,Fantasy,https://books.toscrape.com/media/cache/3e/0b/3e0b16851bec08b6cbf78d5f64af9114.jpg,/app/data/images/fantasy/the-glittering-court-the-glittering-court-1-ca77847c.jpg
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,Fantasy,https://books.toscrape.com/media/cache/e2/60/e260b008b7ea7970562295b7bc64b0cb.jpg,/app/data/images/fantasy/hollow-city-miss-peregrines-peculiar-children-2-39608e5c.jpg
The Star-Touched Queen,46.02,5,Fantasy,https://books.toscrape.com/media/cache/53/5e/535e2be0b423797c2cdc7d98882c820a.jpg,/app/data/images/fantasy/the-star-touched-queen-511ae727.jpg
The Hidden Oracle (The Trials of Apollo #1),52.26,2,Fantasy,https://books.toscrape.com/media/cache/b4/67/b467a4f01ca6ae8464b9425a156c7c32.jpg,/app/data/images/fantasy/the-hidden-oracle-the-trials-of-apollo-1-5c05c1f0.jpg
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,Fantasy,https://books.toscrape.com/media/cache/9a/33/9a333c4a06ce187c5c9d2f5969ddcac2.jpg,/app/data/images/fantasy/the-bane-chronicles-the-bane-chronicles-1-11-c9d6e310.jpg
Island of Dragons (Unwanteds #7),29.65,1,Fantasy,https://books.toscrape.com/media/cache/75/b9/75b99691594fde72ccb1831624cfeff6.jpg,/app/data/images/fantasy/island-of-dragons-unwanteds-7-815813d0.jpg
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,Fantasy,https://books.toscrape.com/media/cache/8f/80/8f8074d9f035c2a0ef8595ad89f7bcc8.jpg,/app/data/images/fantasy/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicl-212b6db0.jpg
City of Glass (The Mortal Instruments #3),56.02,4,Fantasy,https://books.toscrape.com/media/cache/00/08/0008e65aa431ed3625ad3a4352f8e90d.jpg,/app/data/images/fantasy/city-of-glass-the-mortal-instruments-3-d07739b4.jpg
Searching for Meaning in Gailana,38.73,1,Fantasy,https://books.toscrape.com/media/cache/3b/04/3b045fe0394dc192950a0ec9e3812fe4.jpg,/app/data/images/fantasy/searching-for-meaning-in-gailana-2424eae9.jpg
The Star-Touched Queen,32.3,5,Fantasy,https://books.toscrape.com/media/cache/d3/0d/d30dd8b6be6f9fcfd17178e8083238b6.jpg,/app/data/images/fantasy/the-star-touched-queen-de60dc3a.jpg
A Shard of Ice (The Black Symphony Saga #1),56.63,3,Fantasy,https://books.toscrape.com/media/cache/27/64/27649cb5da52970f4bb2fc5234a48578.jpg,/app/data/images/fantasy/a-shard-of-ice-the-black-symphony-saga-1-29ca5eb6.jpg
King's Folly (The Kinsman Chronicles #1),39.61,5,Fantasy,https://books.toscrape.com/media/cache/3e/2d/3e2d526ee062008ab1cbf54f90a5abb2.jpg,/app/data/images/fantasy/kings-folly-the-kinsman-chronicles-1-0fc658c1.jpg
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,Fantasy,https://books.toscrape.com/media/cache/50/d4/50d41a24990208deb72c9802a6c1e540.jpg,/app/data/images/fantasy/every-heart-a-doorway-every-heart-a-doorway-1-42fc3e43.jpg
A Gathering of Shadows (Shades of Magic #2),44.81,4,Fantasy,https://books.toscrape.com/media/cache/48/b2/48b20fcc9ab722729de2c4da3d4de26e.jpg,/app/data/images/fantasy/a-gathering-of-shadows-shades-of-magic-2-b51fc09a.jpg
The Raven Boys (The Raven Cycle #1),57.74,4,Fantasy,https://books.toscrape.com/media/cache/3c/a4/3ca4889e4bb7f9a1cc1d7a1c920e9d42.jpg,/app/data/images/fantasy/the-raven-boys-the-raven-cycle-1-45e290a4.jpg
The False Prince (The Ascendance Trilogy #1),56.0,5,Fantasy,https://books.toscrape.com/media/cache/f8/e3/f8e371e2869d13b9d89999f8d5173245.jpg,/app/data/images/fantasy/the-false-prince-the-ascendance-trilogy-1-46e8d2b1.jpg
Tell the Wind and Fire,45.51,3,Fantasy,https://books.toscrape.com/media/cache/3b/0c/3b0c5f4df26b73659af4e25107499384.jpg,/app/data/images/fantasy/tell-the-wind-and-fire-7d7faedc.jpg
A Feast for Crows (A Song of Ice and Fire #4),17.21,4,Fantasy,https://books.toscrape.com/media/cache/b3/6b/b36b278233baf55ebaad761d8d3d0fec.jpg,/app/data/images/fantasy/a-feast-for-crows-a-song-of-ice-and-fire-4-4a0a1d82.jpg
The Demonists (Demonist #1),52.11,2,Fantasy,https://books.toscrape.com/media/cache/1a/d2/1ad2a260776198051f4d1849be347cc6.jpg,/app/data/images/fantasy/the-demonists-demonist-1-359afa0c.jpg
The Beast (Black Dagger Brotherhood #14),46.08,5,Fantasy,https://books.toscrape.com/media/cache/1b/3f/1b3f5057f9e7f7cb81a8c10b58024145.jpg,/app/data/images/fantasy/the-beast-black-dagger-brotherhood-14-b6228a25.jpg
Paper and Fire (The Great Library #2),49.45,5,Fantasy,https://books.toscrape.com/media/cache/a7/04/a704d4248b21c0cdd8038c1b8345ed17.jpg,/app/data/images/fantasy/paper-and-fire-the-great-library-2-0bbade09.jpg
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4,Fantasy,https://books.toscrape.com/media/cache/96/11/9611147982037cd7d79483452938c10f.jpg,/app/data/images/fantasy/harry-potter-and-the-order-of-the-phoenix-harry-potter-5-46cb6b8c.jpg
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5,Fantasy,https://books.toscrape.com/media/cache/c8/24/c8248518fb59de3a798a4b5baae949b5.jpg,/app/data/images/fantasy/harry-potter-and-the-half-blood-prince-harry-potter-6-5af6be05.jpg
