title,price,rating,category,image,image_local
Soumission,50.1,1,Fiction,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,/app/data/images/fiction/soumission-ee0786a3.jpg
Private Paris (Private #10),47.61,5,Fiction,https://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,/app/data/images/fiction/private-paris-private-10-de6fc704.jpg
"We Love You, Charlie Freeman",50.27,5,Fiction,https://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,/app/data/images/fiction/we-love-you-charlie-freeman-f2f6935b.jpg
Thirst,17.27,5,Fiction,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,/app/data/images/fiction/thirst-b040c4ca.jpg
The Murder That Never Was (Forensic Instincts #5),54.11,3,Fiction,https://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,/app/data/images/fiction/the-murder-that-never-was-forensic-instincts-5-0d0032b2.jpg
Tuesday Nights in 1980,21.04,2,Fiction,https://books.toscrape.com/media/cache/6b/da/6bdae061cb92c32b0b83cda8dd10275d.jpg,/app/data/images/fiction/tuesday-nights-in-1980-8d2d53d8.jpg
The Vacationers,42.15,4,Fiction,https://books.toscrape.com/media/cache/37/25/372578cc073efae80cf284b56040a488.jpg,/app/data/images/fiction/the-vacationers-4041dcb9.jpg
The Regional Office Is Under Attack!,51.36,5,Fiction,https://books.toscrape.com/media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg,/app/data/images/fiction/the-regional-office-is-under-attack-ef4873e3.jpg
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Fiction,https://books.toscrape.com/media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg,/app/data/images/fiction/finders-keepers-bill-hodges-trilogy-2-a89bc9a7.jpg
The Time Keeper,27.88,5,Fiction,https://books.toscrape.com/media/cache/8f/f8/8ff8680dde59ea739d6978a01e4d7fe5.jpg,/app/data/images/fiction/the-time-keeper-7078452c.jpg
The Testament of Mary,52.67,4,Fiction,https://books.toscrape.com/media/cache/83/05/8305154438c91a02cefacf4ec8b53393.jpg,/app/data/images/fiction/the-testament-of-mary-736a7370.jpg
The First Hostage (J.B. Collins #2),25.85,3,Fiction,https://books.toscrape.com/media/cache/38/34/3834572e651cdc14b18d348fa4875aa9.jpg,/app/data/images/fiction/the-first-hostage-jb-collins-2-537113dc.jpg
Take Me with You,45.21,3,Fiction,https://books.toscrape.com/media/cache/d8/a4/d8a44eda7cbe7bd1207f868e9adc06f3.jpg,/app/data/images/fiction/take-me-with-you-80a86179.jpg
Still Life with Bread Crumbs,26.41,3,Fiction,https://books.toscrape.com/media/cache/8e/c7/8ec7f310b74ddd7ec3c859e9b0da7389.jpg,/app/data/images/fiction/still-life-with-bread-crumbs-b3e71b75.jpg
Shtum,55.84,4,Fiction,https://books.toscrape.com/media/cache/03/16/0316bb6f4785ac69c0643109201bad5d.jpg,/app/data/images/fiction/shtum-021001e4.jpg
My Name Is Lucy Barton,41.56,1,Fiction,https://books.toscrape.com/media/cache/ca/b1/cab150e556b5fab663a9fec00ed97943.jpg,/app/data/images/fiction/my-name-is-lucy-barton-c2e9bd49.jpg
My Mrs. Brown,24.48,3,Fiction,https://books.toscrape.com/media/cache/e0/79/e07906c1e507055da9a2260a74f58273.jpg,/app/data/images/fiction/my-mrs-brown-bfa24814.jpg
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,Fiction,https://books.toscrape.com/media/cache/a7/f0/a7f092a7b79f848df0226f808fed489b.jpg,/app/data/images/fiction/mr-mercedes-bill-hodges-trilogy-1-38e907e6.jpg
I Am Pilgrim (Pilgrim #1),10.6,4,Fiction,https://books.toscrape.com/media/cache/ed/07/ed07c9e7c53d4f33a6eb7d41eb0e6d4a.jpg,/app/data/images/fiction/i-am-pilgrim-pilgrim-1-c7c8cf0a.jpg
Eligible (The Austen Project #4),27.09,3,Fiction,https://books.toscrape.com/media/cache/26/3b/263bf5d128bf18553ea8da8bb19e9a0c.jpg,/app/data/images/fiction/eligible-the-austen-project-4-79693c79.jpg
Eight Hundred Grapes,14.39,4,Fiction,https://books.toscrape.com/media/cache/8c/01/8c011092f05791961d25ec3cfcf0a832.jpg,/app/data/images/fiction/eight-hundred-grapes-81ac50eb.jpg
Dear Mr. Knightley,11.21,5,Fiction,https://books.toscrape.com/media/cache/78/87/78873811f8c1d75a0c26d8cc8e6a9dbc.jpg,/app/data/images/fiction/dear-mr-knightley-ef1d0eba.jpg
Cometh the Hour (The Clifton Chronicles #6),25.01,3,Fiction,https://books.toscrape.com/media/cache/55/11/5511a4296fbd484dcaa89c8a2d25965d.jpg,/app/data/images/fiction/cometh-the-hour-the-clifton-chronicles-6-fa369e0e.jpg
Balloon Animals,17.03,3,Fiction,https://books.toscrape.com/media/cache/6e/23/6e2324cae6335e8e98c8b46597afc9a3.jpg,/app/data/images/fiction/balloon-animals-4eb6bf38.jpg
A Man Called Ove,39.72,1,Fiction,https://books.toscrape.com/media/cache/9c/f1/9cf1f4a47b8d08909fc092e6ae598d83.jpg,/app/data/images/fiction/a-man-called-ove-2adaa1a7.jpg
The Silent Sister (Riley MacPherson #1),46.29,5,Fiction,https://books.toscrape.com/media/cache/30/2c/302cd9c84442e139145ec0993880d7e0.jpg,/app/data/images/fiction/the-silent-sister-riley-macpherson-1-c2caf76e.jpg
The Dinner Party,56.54,2,Fiction,https://books.toscrape.com/media/cache/ba/76/ba761d23c5c0e5a0638e04739c69c5d0.jpg,/app/data/images/fiction/the-dinner-party-9e18a702.jpg
The Improbability of Love,59.45,1,Fiction,https://books.toscrape.com/media/cache/06/49/06493269f6893cfd24b650f66df51882.jpg,/app/data/images/fiction/the-improbability-of-love-ff140866.jpg
Mothering Sunday,13.34,2,Fiction,https://books.toscrape.com/media/cache/a8/84/a8843a3fe1a40d5c7df60bbb8cd76ecd.jpg,/app/data/images/fiction/mothering-sunday-e15b646d.jpg
Lies and Other Acts of Love,45.14,1,Fiction,https://books.toscrape.com/media/cache/29/88/2988f5fb3dfd95214dba2ecb2d496c94.jpg,/app/data/images/fiction/lies-and-other-acts-of-love-6d6e27ab.jpg
Daredevils,16.34,3,Fiction,https://books.toscrape.com/media/cache/31/71/31715c5e3b53bf1e2f41e394f024a8c4.jpg,/app/data/images/fiction/daredevils-d84e0664.jpg
11/22/63,48.48,3,Fiction,https://books.toscrape.com/media/cache/f6/c5/f6c5d27eacb123238f28a32263694d74.jpg,/app/data/images/fiction/112263-2add3853.jpg
The Shack,28.03,1,Fiction,https://books.toscrape.com/media/cache/20/8b/208b77faac57115ae239391fe2a64c86.jpg,/app/data/images/fiction/the-shack-04598655.jpg
The High Mountains of Portugal,51.15,1,Fiction,https://books.toscrape.com/media/cache/55/00/550091fc134bbe67f562d95a6d6313f7.jpg,/app/data/images/fiction/the-high-mountains-of-portugal-7d629bc3.jpg
Miller's Valley,58.54,2,Fiction,https://books.toscrape.com/media/cache/dc/1a/dc1a54201eff16a11e7d84eef5ea36c7.jpg,/app/data/images/fiction/millers-valley-819349ff.jpg
Hystopia: A Novel,21.96,4,Fiction,https://books.toscrape.com/media/cache/2d/7b/2d7b77d8b45b2f8e1bc0ce20aacddad0.jpg,/app/data/images/fiction/hystopia-a-novel-546b4e20.jpg
The Bourne Identity (Jason Bourne #1),42.78,4,Fiction,https://books.toscrape.com/media/cache/40/8d/408d93b27ce8c9cfb3bf66c17e9a54ab.jpg,/app/data/images/fiction/the-bourne-identity-jason-bourne-1-78b6fc29.jpg
Sister Dear,40.2,4,Fiction,https://books.toscrape.com/media/cache/fa/57/fa570b7a0fb42252f61e1e750c79d417.jpg,/app/data/images/fiction/sister-dear-2ae80908.jpg
Memoirs of a Geisha,49.67,3,Fiction,https://books.toscrape.com/media/cache/41/80/4180406c788ff3e0f37cd4491a260a5b.jpg,/app/data/images/fiction/memoirs-of-a-geisha-ce8e8b17.jpg
Me Before You (Me Before You #1),19.02,1,Fiction,https://books.toscrape.com/media/cache/a2/cd/a2cd0016b37c0407059147e58e14afe5.jpg,/app/data/images/fiction/me-before-you-me-before-you-1-66fa51c1.jpg
Deception Point,40.32,4,Fiction,https://books.toscrape.com/media/cache/fa/2d/fa2d3198b7ba9785e0edd6f41b84d72b.jpg,/app/data/images/fiction/deception-point-3c5e01f7.jpg
