title,price,rating,category,image,image_local
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,Food and Drink,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,/app/data/images/food-and-drink/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-ff25a4e5.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,Food and Drink,https://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,/app/data/images/food-and-drink/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-87b8a9fb.jpg
My Paris Kitchen: Recipes and Stories,33.37,2,Food and Drink,https://books.toscrape.com/media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg,/app/data/images/food-and-drink/my-paris-kitchen-recipes-and-stories-2c5c6d33.jpg
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,Food and Drink,https://books.toscrape.com/media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg,/app/data/images/food-and-drink/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed-c392956f.jpg
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,Food and Drink,https://books.toscrape.com/media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg,/app/data/images/food-and-drink/layered-baking-building-and-styling-spectacular-cakes-10067911.jpg
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,Food and Drink,https://books.toscrape.com/media/cache/61/bd/61bdfe3950643c47d70c37c4123530f3.jpg,/app/data/images/food-and-drink/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us-f0012914.jpg
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,Food and Drink,https://books.toscrape.com/media/cache/0d/1f/0d1f3f934460f5a50aaa8c366641234c.jpg,/app/data/images/food-and-drink/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooki-54c8c028.jpg
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,Food and Drink,https://books.toscrape.com/media/cache/54/89/54899b4584e941ceced511d81092c88a.jpg,/app/data/images/food-and-drink/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-d-57e8dc06.jpg
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,Food and Drink,https://books.toscrape.com/media/cache/20/f2/20f28657b49f8cb24ed2ec6448bb6df3.jpg,/app/data/images/food-and-drink/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-028911ca.jpg
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,Food and Drink,https://books.toscrape.com/media/cache/c4/dc/c4dcec6f513eaca3f0f3c748d834c46d.jpg,/app/data/images/food-and-drink/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-9f20bfee.jpg
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,Food and Drink,https://books.toscrape.com/media/cache/fe/67/fe67c381d6a0c4c00a7c191d16939554.jpg,/app/data/images/food-and-drink/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes-8d2d43f6.jpg
Barefoot Contessa Back to Basics,28.01,1,Food and Drink,https://books.toscrape.com/media/cache/b8/38/b838b65e0e1ac3a9b498dfb1bf004420.jpg,/app/data/images/food-and-drink/barefoot-contessa-back-to-basics-0e254ae6.jpg
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,Food and Drink,https://books.toscrape.com/media/cache/74/aa/74aa29b1ba4147eaf5b46671bf235861.jpg,/app/data/images/food-and-drink/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again-2e6e42ea.jpg
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,Food and Drink,https://books.toscrape.com/media/cache/76/a1/76a1516c8d9c3e620626f30840013a85.jpg,/app/data/images/food-and-drink/my-kitchen-year-136-recipes-that-saved-my-life-b3e81744.jpg
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,Food and Drink,https://books.toscrape.com/media/cache/5a/64/5a6499d41ccaad4c4f7eeaa90e16345a.jpg,/app/data/images/food-and-drink/everyday-italian-125-simple-and-delicious-recipes-0b9aefed.jpg
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,Food and Drink,https://books.toscrape.com/media/cache/98/19/9819ff3a8290dc6ab8797d00de5ec554.jpg,/app/data/images/food-and-drink/a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-wit-a8ffc8f9.jpg
Cravings: Recipes for What You Want to Eat,20.5,3,Food and Drink,https://books.toscrape.com/media/cache/ae/5c/ae5ca435fb095e374d2c2aa9f7b6f380.jpg,/app/data/images/food-and-drink/cravings-recipes-for-what-you-want-to-eat-49d1b8e9.jpg
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,Food and Drink,https://books.toscrape.com/media/cache/d4/53/d453cfb6c08dbf76d200ffa858bc9979.jpg,/app/data/images/food-and-drink/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york-11a02ad5.jpg
32 Yolks,53.63,2,Food and Drink,https://books.toscrape.com/media/cache/1d/1f/1d1fbd89f0290275b9166877663ee9f5.jpg,/app/data/images/food-and-drink/32-yolks-9c618f13.jpg
