title,price,rating,category,image,image_local
Tipping the Velvet,53.74,1,Historical Fiction,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,/app/data/images/historical-fiction/tipping-the-velvet-4da9dc2c.jpg
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Historical Fiction,https://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,/app/data/images/historical-fiction/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton-b6906dac.jpg
A Flight of Arrows (The Pathfinders #2),55.53,5,Historical Fiction,https://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,/app/data/images/historical-fiction/a-flight-of-arrows-the-pathfinders-2-ab693ebb.jpg
The House by the Lake,36.95,1,Historical Fiction,https://books.toscrape.com/media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,/app/data/images/historical-fiction/the-house-by-the-lake-a838cced.jpg
Mrs. Houdini,30.25,5,Historical Fiction,https://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,/app/data/images/historical-fiction/mrs-houdini-39dcd3cb.jpg
The Marriage of Opposites,28.08,4,Historical Fiction,https://books.toscrape.com/media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,/app/data/images/historical-fiction/the-marriage-of-opposites-71850b80.jpg
Glory over Everything: Beyond The Kitchen House,45.84,3,Historical Fiction,https://books.toscrape.com/media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,/app/data/images/historical-fiction/glory-over-everything-beyond-the-kitchen-house-1408f4ed.jpg
"Love, Lies and Spies",20.55,2,Historical Fiction,https://books.toscrape.com/media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,/app/data/images/historical-fiction/love-lies-and-spies-4137ba08.jpg
A Paris Apartment,39.01,4,Historical Fiction,https://books.toscrape.com/media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg,/app/data/images/historical-fiction/a-paris-apartment-f8690f8f.jpg
Lilac Girls,17.28,2,Historical Fiction,https://books.toscrape.com/media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg,/app/data/images/historical-fiction/lilac-girls-af9a7ae2.jpg
The Constant Princess (The Tudor Court #1),16.62,3,Historical Fiction,https://books.toscrape.com/media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg,/app/data/images/historical-fiction/the-constant-princess-the-tudor-court-1-e92f966b.jpg
The Invention of Wings,37.34,1,Historical Fiction,https://books.toscrape.com/media/cache/62/fa/62fa1e72f06f05762db5d9cedf654153.jpg,/app/data/images/historical-fiction/the-invention-of-wings-8d80d168.jpg
World Without End (The Pillars of the Earth #2),32.97,4,Historical Fiction,https://books.toscrape.com/media/cache/be/7c/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg,/app/data/images/historical-fiction/world-without-end-the-pillars-of-the-earth-2-66554f72.jpg
The Passion of Dolssa,28.32,5,Historical Fiction,https://books.toscrape.com/media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg,/app/data/images/historical-fiction/the-passion-of-dolssa-af051ff6.jpg
Girl With a Pearl Earring,26.77,1,Historical Fiction,https://books.toscrape.com/media/cache/b7/ad/b7ad37d93d8401c84d7325aa645ff6d5.jpg,/app/data/images/historical-fiction/girl-with-a-pearl-earring-8e442af4.jpg
Voyager (Outlander #3),21.07,5,Historical Fiction,https://books.toscrape.com/media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg,/app/data/images/historical-fiction/voyager-outlander-3-f6dbb549.jpg
The Red Tent,35.66,5,Historical Fiction,https://books.toscrape.com/media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg,/app/data/images/historical-fiction/the-red-tent-2d9d5109.jpg
The Last Painting of Sara de Vos,55.55,2,Historical Fiction,https://books.toscrape.com/media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg,/app/data/images/historical-fiction/the-last-painting-of-sara-de-vos-63bf9216.jpg
The Guernsey Literary and Potato Peel Pie Society,49.53,1,Historical Fiction,https://books.toscrape.com/media/cache/18/f7/18f7bf6366cd7a8b947fd790d808047b.jpg,/app/data/images/historical-fiction/the-guernsey-literary-and-potato-peel-pie-society-680048e0.jpg
Girl in the Blue Coat,46.83,2,Historical Fiction,https://books.toscrape.com/media/cache/bf/7a/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg,/app/data/images/historical-fiction/girl-in-the-blue-coat-30924535.jpg
Between Shades of Gray,20.79,5,Historical Fiction,https://books.toscrape.com/media/cache/f9/19/f919f64fc0e3642cdc604134bfd93774.jpg,/app/data/images/historical-fiction/between-shades-of-gray-bff01b33.jpg
While You Were Mine,41.32,5,Historical Fiction,https://books.toscrape.com/media/cache/45/e8/45e87bcad554d79eadf0f89df9cac6f9.jpg,/app/data/images/historical-fiction/while-you-were-mine-3164aefe.jpg
The Secret Healer,34.56,3,Historical Fiction,https://books.toscrape.com/media/cache/69/d2/69d225899cce0a150c605ead01e02f60.jpg,/app/data/images/historical-fiction/the-secret-healer-31de0334.jpg
Starlark,25.83,3,Historical Fiction,https://books.toscrape.com/media/cache/b4/9e/b49e66e8f446d9a3dae488955f2aa487.jpg,/app/data/images/historical-fiction/starlark-85a6c1ec.jpg
Lost Among the Living,27.7,4,Historical Fiction,https://books.toscrape.com/media/cache/5a/40/5a40d914bc3491e5909f1167f9cb34f2.jpg,/app/data/images/historical-fiction/lost-among-the-living-5bbc2f8c.jpg
A Spy's Devotion (The Regency Spies of London #1),16.97,5,Historical Fiction,https://books.toscrape.com/media/cache/1b/5f/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg,/app/data/images/historical-fiction/a-spys-devotion-the-regency-spies-of-london-1-478d2f64.jpg
