title,price,rating,category,image,image_local
Sapiens: A Brief History of Humankind,54.23,5,History,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,/app/data/images/history/sapiens-a-brief-history-of-humankind-b86e50fb.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,History,https://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,/app/data/images/history/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-3b875a93.jpg
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,History,https://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg,/app/data/images/history/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind-359590b0.jpg
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,History,https://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg,/app/data/images/history/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-r-b9b2a309.jpg
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,History,https://books.toscrape.com/media/cache/97/47/974709d437b08e74649b5744471bf472.jpg,/app/data/images/history/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-623ffe4a.jpg
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,History,https://books.toscrape.com/media/cache/3d/60/3d6003fc37b842a07c2dbe28e47448e1.jpg,/app/data/images/history/zealot-the-life-and-times-of-jesus-of-nazareth-f36d1fc0.jpg
A Distant Mirror: The Calamitous 14th Century,14.58,3,History,https://books.toscrape.com/media/cache/41/d5/41d5fa6a81cdbcbe6b0b15757a4c9144.jpg,/app/data/images/history/a-distant-mirror-the-calamitous-14th-century-5a165984.jpg
1491: New Revelations of the Americas Before Columbus,21.8,3,History,https://books.toscrape.com/media/cache/88/75/8875f384ce9103281b7f6e86a2b8204d.jpg,/app/data/images/history/1491-new-revelations-of-the-americas-before-columbus-065412bc.jpg
Brilliant Beacons: A History of the American Lighthouse,11.45,3,History,https://books.toscrape.com/media/cache/56/cb/56cb66d73fb438d64af14dce8bd8b22b.jpg,/app/data/images/history/brilliant-beacons-a-history-of-the-american-lighthouse-f40c1c98.jpg
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,History,https://books.toscrape.com/media/cache/11/af/11af7fbd6aec06a75fe207fae92b17e0.jpg,/app/data/images/history/most-blessed-of-the-patriarchs-thomas-jefferson-and-the-empire-of-the-imaginatio-a7e40c7a.jpg
A Short History of Nearly Everything,52.4,5,History,https://books.toscrape.com/media/cache/3c/f6/3cf646523ff7fb8647c500d6325cfcaf.jpg,/app/data/images/history/a-short-history-of-nearly-everything-c66f9a04.jpg
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2,History,https://books.toscrape.com/media/cache/e1/02/e102cefae5bb523bc67eb6b49bc18b5d.jpg,/app/data/images/history/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany-44210bc3.jpg
Catherine the Great: Portrait of a Woman,58.55,4,History,https://books.toscrape.com/media/cache/72/f1/72f13b8f069d3a018d2c378be5a1de20.jpg,/app/data/images/history/catherine-the-great-portrait-of-a-woman-30e57bd9.jpg
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5,History,https://books.toscrape.com/media/cache/f2/64/f26457d65a03b2636c4bcc7c318f7346.jpg,/app/data/images/history/the-mathews-men-seven-brothers-and-the-war-against-hitlers-u-boats-4fadfac4.jpg
The Hiding Place,55.91,4,History,https://books.toscrape.com/media/cache/cf/18/cf187c1dc5575fcbbf49c58024146c4b.jpg,/app/data/images/history/the-hiding-place-332e91fd.jpg
America's War for the Greater Middle East: A Military History,51.22,2,History,https://books.toscrape.com/media/cache/eb/17/eb178eceef1e9290591cabd5155571a3.jpg,/app/data/images/history/americas-war-for-the-greater-middle-east-a-military-history-60da7a61.jpg
The Guns of August,14.54,2,History,https://books.toscrape.com/media/cache/06/c8/06c897070611b78b80a37333cbb7851c.jpg,/app/data/images/history/the-guns-of-august-e9f26e5a.jpg
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,2,History,https://books.toscrape.com/media/cache/43/fd/43fda1db93163d67705264dcfa98aaa5.jpg,/app/data/images/history/house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth-fced35fd.jpg
