title,price,rating,category,image,image_local
Security,39.25,2,Horror,https://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,/app/data/images/horror/security-f5f7951d.jpg
Follow You Home,21.36,1,Horror,https://books.toscrape.com/media/cache/a7/4b/a74b35375ce874153fd352e33bc7bac9.jpg,/app/data/images/horror/follow-you-home-3d8c0feb.jpg
The Loney,23.4,1,Horror,https://books.toscrape.com/media/cache/6d/10/6d10387a0175701d4ff456a0c7eee67b.jpg,/app/data/images/horror/the-loney-ffff5da6.jpg
Pet Sematary,10.56,3,Horror,https://books.toscrape.com/media/cache/7a/72/7a72465b21dbf998323e37b31f9a3f4a.jpg,/app/data/images/horror/pet-sematary-a74a51d3.jpg
Doctor Sleep (The Shining #2),40.12,2,Horror,https://books.toscrape.com/media/cache/55/bf/55bfc858c1cb19867e41415532ae43c6.jpg,/app/data/images/horror/doctor-sleep-the-shining-2-d414fde0.jpg
Psycho: Sanitarium (Psycho #1.5),36.97,5,Horror,https://books.toscrape.com/media/cache/02/5c/025c30a378e2a4190e84f1429e81b803.jpg,/app/data/images/horror/psycho-sanitarium-psycho-15-353d65f3.jpg
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,Horror,https://books.toscrape.com/media/cache/0b/2f/0b2f432cc27132f688fcdf29618521e0.jpg,/app/data/images/horror/can-you-keep-a-secret-fear-street-relaunch-4-44885c38.jpg
Red Dragon (Hannibal Lecter #1),23.37,3,Horror,https://books.toscrape.com/media/cache/30/66/3066f8bcd2e2ed6b45084355ff084a61.jpg,/app/data/images/horror/red-dragon-hannibal-lecter-1-66bd64b7.jpg
Dracula the Un-Dead,35.63,5,Horror,https://books.toscrape.com/media/cache/13/ff/13fffcde653948339d3427184b7bd0b5.jpg,/app/data/images/horror/dracula-the-un-dead-8a2f4d3b.jpg
Night Shift (Night Shift #1-20),12.75,4,Horror,https://books.toscrape.com/media/cache/c0/02/c0029d48c2588e6d2a6a31c9f96088ba.jpg,/app/data/images/horror/night-shift-night-shift-1-20-0c5ba6af.jpg
Needful Things,47.51,4,Horror,https://books.toscrape.com/media/cache/2d/e0/2de0eff716ca13d12cf5420e88e1a8b3.jpg,/app/data/images/horror/needful-things-3e5ea824.jpg
Misery,34.79,2,Horror,https://books.toscrape.com/media/cache/7c/93/7c9302e392e128881e926d19f761da33.jpg,/app/data/images/horror/misery-38d4814e.jpg
It,25.01,3,Horror,https://books.toscrape.com/media/cache/f7/b7/f7b73392b12909a1e8261ef3f96c5fd1.jpg,/app/data/images/horror/it-0f6c1515.jpg
'Salem's Lot,49.56,4,Horror,https://books.toscrape.com/media/cache/ee/d3/eed3afc5e444e3da5eec34e2b0036ec7.jpg,/app/data/images/horror/salems-lot-33fea75f.jpg
The Stand,57.86,2,Horror,https://books.toscrape.com/media/cache/3a/7c/3a7c2393061031e7911d7b533b723391.jpg,/app/data/images/horror/the-stand-301c137b.jpg
The Girl with All the Gifts,49.47,3,Horror,https://books.toscrape.com/media/cache/41/c7/41c74d82b853606fe98182c417b4669c.jpg,/app/data/images/horror/the-girl-with-all-the-gifts-f957f696.jpg
House of Leaves,54.89,1,Horror,https://books.toscrape.com/media/cache/14/25/142563ccee483bc07632f9c083a68326.jpg,/app/data/images/horror/house-of-leaves-1be787e1.jpg
