title,price,rating,category,image,image_local
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,Humor,https://books.toscrape.com/media/cache/46/bd/46bdee520b8136972262fd040533772d.jpg,/app/data/images/humor/the-long-haul-diary-of-a-wimpy-kid-9-85f99bf8.jpg
Old School (Diary of a Wimpy Kid #10),11.83,5,Humor,https://books.toscrape.com/media/cache/df/5d/df5d172abe87deda6d533e3e908d27d8.jpg,/app/data/images/humor/old-school-diary-of-a-wimpy-kid-10-7fe3aeab.jpg
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,Humor,https://books.toscrape.com/media/cache/ea/7b/ea7bcac4b27a5bf6d4f8125bb7af3361.jpg,/app/data/images/humor/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-c-2a154264.jpg
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Humor,https://books.toscrape.com/media/cache/b5/a9/b5a90d1c36a96513942f006345ace3d2.jpg,/app/data/images/humor/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-ace1be10.jpg
Dress Your Family in Corduroy and Denim,43.68,3,Humor,https://books.toscrape.com/media/cache/df/14/df1418baa09e00b877be35066084c9dc.jpg,/app/data/images/humor/dress-your-family-in-corduroy-and-denim-28299b33.jpg
Toddlers Are A**holes: It's Not Your Fault,25.55,1,Humor,https://books.toscrape.com/media/cache/4c/30/4c3041def6f29659e009f61e45e492b0.jpg,/app/data/images/humor/toddlers-are-aholes-its-not-your-fault-62d46faf.jpg
When You Are Engulfed in Flames,30.89,5,Humor,https://books.toscrape.com/media/cache/73/36/733662595aede2dff1a5be1e76a3b936.jpg,/app/data/images/humor/when-you-are-engulfed-in-flames-a6f6b8c5.jpg
Naked,31.69,3,Humor,https://books.toscrape.com/media/cache/e7/12/e71268a559d73826aa64151d47357a12.jpg,/app/data/images/humor/naked-69946f4d.jpg
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,5,Humor,https://books.toscrape.com/media/cache/a1/03/a10370da29e4ba78c7a75a14041eae0e.jpg,/app/data/images/humor/lamb-the-gospel-according-to-biff-christs-childhood-pal-4d536e5e.jpg
Holidays on Ice,51.07,2,Humor,https://books.toscrape.com/media/cache/4b/9a/4b9a2a6d4c995e12fe216f6173a582be.jpg,/app/data/images/humor/holidays-on-ice-99bb6c14.jpg
