title,price,rating,category,image,image_local
Rip it Up and Start Again,35.02,5,Music,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,/app/data/images/music/rip-it-up-and-start-again-1245c855.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Music,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,/app/data/images/music/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991-8c54f198.jpg
How Music Works,37.32,2,Music,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,/app/data/images/music/how-music-works-6b46ab00.jpg
Love Is a Mix Tape (Music #1),18.03,1,Music,https://books.toscrape.com/media/cache/a2/6d/a26d8449abb3381e09126eda5f4e8151.jpg,/app/data/images/music/love-is-a-mix-tape-music-1-adb1d738.jpg
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,Music,https://books.toscrape.com/media/cache/06/f1/06f185c0be2ad6e2fe059464c03f1b47.jpg,/app/data/images/music/please-kill-me-the-uncensored-oral-history-of-punk-59ce07ca.jpg
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5,Music,https://books.toscrape.com/media/cache/85/42/8542841f5644a6daf433504f1e106e97.jpg,/app/data/images/music/kill-em-and-leave-searching-for-james-brown-and-the-american-soul-0bce625a.jpg
"Chronicles, Vol. 1",52.6,2,Music,https://books.toscrape.com/media/cache/11/fc/11fc94453c4dc0d68543971d7843afb0.jpg,/app/data/images/music/chronicles-vol-1-4d855034.jpg
This Is Your Brain on Music: The Science of a Human Obsession,38.4,1,Music,https://books.toscrape.com/media/cache/35/a4/35a4a7c6c76c4e82186753078e441654.jpg,/app/data/images/music/this-is-your-brain-on-music-the-science-of-a-human-obsession-f0dbe271.jpg
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,3,Music,https://books.toscrape.com/media/cache/15/de/15de75548ee9a4c6be1420ee309c03e0.jpg,/app/data/images/music/orchestra-of-exiles-the-story-of-bronislaw-huberman-the-israel-philharmonic-and-0bd382a8.jpg
No One Here Gets Out Alive,20.02,5,Music,https://books.toscrape.com/media/cache/7a/7e/7a7eb52e7075a5305522948375c1316e.jpg,/app/data/images/music/no-one-here-gets-out-alive-2b959907.jpg
Life,31.58,5,Music,https://books.toscrape.com/media/cache/99/97/9997eda658c2fe50e724171f9c2a2b0b.jpg,/app/data/images/music/life-138214f0.jpg
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,2,Music,https://books.toscrape.com/media/cache/7e/94/7e947f3dd04f178175b85123829467a9.jpg,/app/data/images/music/old-records-never-die-one-mans-quest-for-his-vinyl-and-his-past-69ebdcc0.jpg
Forever Rockers (The Rocker #12),28.8,3,Music,https://books.toscrape.com/media/cache/7f/b0/7fb03a053c270000667a50dd8d594843.jpg,/app/data/images/music/forever-rockers-the-rocker-12-2b3cf945.jpg
