title,price,rating,category,image,image_local
Sharp Objects,47.82,4,Mystery,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,/app/data/images/mystery/sharp-objects-a4f6077d.jpg
"In a Dark, Dark Wood",19.63,1,Mystery,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,/app/data/images/mystery/in-a-dark-dark-wood-5923f955.jpg
The Past Never Ends,56.5,4,Mystery,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,/app/data/images/mystery/the-past-never-ends-a739481f.jpg
A Murder in Time,16.64,1,Mystery,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,/app/data/images/mystery/a-murder-in-time-953e4a0e.jpg
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery,https://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,/app/data/images/mystery/the-murder-of-roger-ackroyd-hercule-poirot-4-7c8f9a4b.jpg
The Last Mile (Amos Decker #2),54.21,2,Mystery,https://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,/app/data/images/mystery/the-last-mile-amos-decker-2-16f8c402.jpg
That Darkness (Gardiner and Renner #1),13.92,1,Mystery,https://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,/app/data/images/mystery/that-darkness-gardiner-and-renner-1-935ffc7b.jpg
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Mystery,https://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,/app/data/images/mystery/tastes-like-fear-di-marnie-rome-3-8359e6f3.jpg
A Time of Torment (Charlie Parker #14),48.35,5,Mystery,https://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,/app/data/images/mystery/a-time-of-torment-charlie-parker-14-13a126f5.jpg
A Study in Scarlet (Sherlock Holmes #1),16.73,2,Mystery,https://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,/app/data/images/mystery/a-study-in-scarlet-sherlock-holmes-1-97f4eb70.jpg
Poisonous (Max Revere Novels #3),26.8,3,Mystery,https://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,/app/data/images/mystery/poisonous-max-revere-novels-3-860fdedc.jpg
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Mystery,https://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,/app/data/images/mystery/murder-at-the-42nd-street-library-raymond-ambler-1-12df1cc1.jpg
