title,price,rating,category,image,image_local
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,Nonfiction,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,/app/data/images/nonfiction/worlds-elsewhere-journeys-around-shakespeares-globe-004651eb.jpg
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Nonfiction,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,/app/data/images/nonfiction/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate-1bc1616e.jpg
Reasons to Stay Alive,26.41,2,Nonfiction,https://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,/app/data/images/nonfiction/reasons-to-stay-alive-913cc6d0.jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Nonfiction,https://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,/app/data/images/nonfiction/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe-911da737.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,Nonfiction,https://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,/app/data/images/nonfiction/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-1e2dab0d.jpg
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,Nonfiction,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,/app/data/images/nonfiction/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity-4cc3a5b6.jpg
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,Nonfiction,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,/app/data/images/nonfiction/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organ-ed231073.jpg
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,Nonfiction,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,/app/data/images/nonfiction/the-gutsy-girl-escapades-for-your-life-of-epic-adventure-dc737471.jpg
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,Nonfiction,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,/app/data/images/nonfiction/the-electric-pencil-drawings-from-inside-state-hospital-no-3-3956f5fc.jpg
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,Nonfiction,https://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,/app/data/images/nonfiction/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up-b7700f5c.jpg
