title,price,rating,category,image,image_local
Sophie's World,15.94,5,Philosophy,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,/app/data/images/philosophy/sophies-world-50229df6.jpg
The Death of Humanity: and the Case for Life,58.11,4,Philosophy,https://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,/app/data/images/philosophy/the-death-of-humanity-and-the-case-for-life-bf6d64ce.jpg
The Stranger,17.44,4,Philosophy,https://books.toscrape.com/media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg,/app/data/images/philosophy/the-stranger-216d7a23.jpg
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,Philosophy,https://books.toscrape.com/media/cache/3f/ef/3fef12d9da503693af12997c0ea0897f.jpg,/app/data/images/philosophy/proofs-of-god-classical-arguments-from-tertullian-to-barth-8aba1dc7.jpg
Kierkegaard: A Christian Missionary to Christians,47.13,1,Philosophy,https://books.toscrape.com/media/cache/05/ce/05ce699eaf78c0fae20308497c4f496a.jpg,/app/data/images/philosophy/kierkegaard-a-christian-missionary-to-christians-d750563c.jpg
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,Philosophy,https://books.toscrape.com/media/cache/de/76/de76d5c473c358bd41c03cf710692bfb.jpg,/app/data/images/philosophy/at-the-existentialist-café-freedom-being-and-apricot-cocktails-with-jean-paul-sa-687d42fb.jpg
Critique of Pure Reason,20.75,1,Philosophy,https://books.toscrape.com/media/cache/12/6e/126ef8f6473b81808ebbb9cff155e883.jpg,/app/data/images/philosophy/critique-of-pure-reason-acf3b7b0.jpg
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1,Philosophy,https://books.toscrape.com/media/cache/91/e6/91e6190dcdd7d6cdeb94a82b60917ec4.jpg,/app/data/images/philosophy/run-spot-run-the-ethics-of-keeping-pets-6fc3bd3e.jpg
The Nicomachean Ethics,36.34,1,Philosophy,https://books.toscrape.com/media/cache/f0/aa/f0aa9ae0319b1d6e0706e6053020e696.jpg,/app/data/images/philosophy/the-nicomachean-ethics-b424d2bb.jpg
Meditations,25.89,2,Philosophy,https://books.toscrape.com/media/cache/df/c9/dfc9ed72e963572d23233b3a8cb01676.jpg,/app/data/images/philosophy/meditations-08687f3e.jpg
Beyond Good and Evil,43.38,1,Philosophy,https://books.toscrape.com/media/cache/ab/45/ab45f300aa15066ad1260d6f1398d03e.jpg,/app/data/images/philosophy/beyond-good-and-evil-e3ac00f5.jpg
