title,price,rating,category,image,image_local
A Light in the Attic,51.77,3,Poetry,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,/app/data/images/poetry/a-light-in-the-attic-281d7495.jpg
The Black Maria,52.15,1,Poetry,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,/app/data/images/poetry/the-black-maria-334c002f.jpg
Shakespeare's Sonnets,20.66,4,Poetry,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,/app/data/images/poetry/shakespeares-sonnets-cc104749.jpg
Olio,23.88,1,Poetry,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,/app/data/images/poetry/olio-0a638afe.jpg
You can't bury them all: Poems,33.63,2,Poetry,https://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,/app/data/images/poetry/you-cant-bury-them-all-poems-4c8d45df.jpg
Slow States of Collapse: Poems,57.31,3,Poetry,https://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,/app/data/images/poetry/slow-states-of-collapse-poems-beecaee7.jpg
Untitled Collection: Sabbath Poems 2014,14.27,4,Poetry,https://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,/app/data/images/poetry/untitled-collection-sabbath-poems-2014-3fd93473.jpg
Poems That Make Grown Women Cry,14.19,4,Poetry,https://books.toscrape.com/media/cache/38/64/386468a8c3e6b880664bf7885bf6f726.jpg,/app/data/images/poetry/poems-that-make-grown-women-cry-7f740b4a.jpg
Night Sky with Exit Wounds,41.05,1,Poetry,https://books.toscrape.com/media/cache/25/54/2554431c797ec725eea50b3f8a83758c.jpg,/app/data/images/poetry/night-sky-with-exit-wounds-a9a6cdfa.jpg
salt.,46.78,4,Poetry,https://books.toscrape.com/media/cache/3f/41/3f4160ada0b16e3c64cd2d0dffe781c8.jpg,/app/data/images/poetry/salt-3ee5e40b.jpg
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,Poetry,https://books.toscrape.com/media/cache/c8/f2/c8f297fab080ddd02b3ed5c17b83af85.jpg,/app/data/images/poetry/quarter-life-poetry-poems-for-the-young-broke-and-hangry-f6d8b4fb.jpg
Out of Print: City Lights Spotlight No. 14,53.64,5,Poetry,https://books.toscrape.com/media/cache/93/d5/93d5c64abfad9ed6a0cb2e26f19f1a1e.jpg,/app/data/images/poetry/out-of-print-city-lights-spotlight-no-14-2e0ad70c.jpg
Les Fleurs du Mal,29.04,5,Poetry,https://books.toscrape.com/media/cache/36/5b/365b3ab7ab72a6258873716aef6d5c1a.jpg,/app/data/images/poetry/les-fleurs-du-mal-762398c4.jpg
Howl and Other Poems,40.45,2,Poetry,https://books.toscrape.com/media/cache/b7/29/b7293f602efb0c17e305077f8175888a.jpg,/app/data/images/poetry/howl-and-other-poems-fc9b68ce.jpg
Leave This Song Behind: Teen Poetry at Its Best,51.17,5,Poetry,https://books.toscrape.com/media/cache/31/c7/31c7c5ce7b04d227aa36ecb250b9dad5.jpg,/app/data/images/poetry/leave-this-song-behind-teen-poetry-at-its-best-75a50fb9.jpg
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,Poetry,https://books.toscrape.com/media/cache/7e/93/7e934132cd03486649fb492fe702f704.jpg,/app/data/images/poetry/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1-7c62da7d.jpg
The Crossover,38.77,4,Poetry,https://books.toscrape.com/media/cache/9f/35/9f351ca1978128c60a3b7f85987075b3.jpg,/app/data/images/poetry/the-crossover-99f02b70.jpg
Booked,17.49,5,Poetry,https://books.toscrape.com/media/cache/8f/46/8f46bb13feb3a4440a27dfcf688fbaa6.jpg,/app/data/images/poetry/booked-a61c7f21.jpg
Twenty Love Poems and a Song of Despair,30.95,4,Poetry,https://books.toscrape.com/media/cache/df/ab/dfab1d94f9190df7c13b63a093a6d16e.jpg,/app/data/images/poetry/twenty-love-poems-and-a-song-of-despair-2ea62dc7.jpg
