title,price,rating,category,image,image_local
Chase Me (Paris Nights #2),25.27,5,Romance,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,/app/data/images/romance/chase-me-paris-nights-2-b3f64bbe.jpg
Black Dust,34.53,5,Romance,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,/app/data/images/romance/black-dust-e4ddc2ed.jpg
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,Romance,https://books.toscrape.com/media/cache/1e/bb/1ebbbc3e2d3249b111033cfc40763b0b.jpg,/app/data/images/romance/her-backup-boyfriend-the-sorensen-family-1-f7c44176.jpg
First and First (Five Boroughs #3),15.97,4,Romance,https://books.toscrape.com/media/cache/c4/d1/c4d1517cc9370e292366b6132ca9ca36.jpg,/app/data/images/romance/first-and-first-five-boroughs-3-05fafbaf.jpg
Fifty Shades Darker (Fifty Shades #2),21.96,1,Romance,https://books.toscrape.com/media/cache/cc/bd/ccbdae9e29b3594301528fa2c876ec29.jpg,/app/data/images/romance/fifty-shades-darker-fifty-shades-2-a697c9a2.jpg
The Wedding Dress,24.12,1,Romance,https://books.toscrape.com/media/cache/28/99/28992d89f4abf54fba183fc8d074adf3.jpg,/app/data/images/romance/the-wedding-dress-a1c10780.jpg
Suddenly in Love (Lake Haven #1),55.99,2,Romance,https://books.toscrape.com/media/cache/e9/f4/e9f4bc8cf5ffaea1504623c936e90a48.jpg,/app/data/images/romance/suddenly-in-love-lake-haven-1-2b98526d.jpg
Something More Than This,16.24,4,Romance,https://books.toscrape.com/media/cache/59/10/5910fbd8a95e8e9de9c660b71e0694e2.jpg,/app/data/images/romance/something-more-than-this-a9ef1efb.jpg
Doing It Over (Most Likely To #1),35.61,3,Romance,https://books.toscrape.com/media/cache/e9/25/e9250495a525eb203652ad9da85ccb8e.jpg,/app/data/images/romance/doing-it-over-most-likely-to-1-0626826a.jpg
The Wedding Pact (The O'Malleys #2),32.61,3,Romance,https://books.toscrape.com/media/cache/7e/67/7e67addd80caaf8a9f9e9daa9cf66bb2.jpg,/app/data/images/romance/the-wedding-pact-the-omalleys-2-8b41f4e7.jpg
