title,price,rating,category,image,image_local
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Science Fiction,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,/app/data/images/science-fiction/mesaerion-the-best-science-fiction-stories-1800-1849-5b9f3c80.jpg
Join,35.67,5,Science Fiction,https://books.toscrape.com/media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,/app/data/images/science-fiction/join-c90d7d44.jpg
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,Science Fiction,https://books.toscrape.com/media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,/app/data/images/science-fiction/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4e82c26c.jpg
The Project,10.65,1,Science Fiction,https://books.toscrape.com/media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,/app/data/images/science-fiction/the-project-f2fcd802.jpg
Soft Apocalypse,26.12,2,Science Fiction,https://books.toscrape.com/media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,/app/data/images/science-fiction/soft-apocalypse-7849a416.jpg
Sleeping Giants (Themis Files #1),48.74,1,Science Fiction,https://books.toscrape.com/media/cache/c0/72/c072c1ef144d571abd25fe9cc18cceba.jpg,/app/data/images/science-fiction/sleeping-giants-themis-files-1-461a9c1d.jpg
Arena,21.36,4,Science Fiction,https://books.toscrape.com/media/cache/51/88/518810d182843244a404f2a2a614a93b.jpg,/app/data/images/science-fiction/arena-79959c00.jpg
Foundation (Foundation (Publication Order) #1),32.42,1,Science Fiction,https://books.toscrape.com/media/cache/8b/92/8b9267df86378b6973974ae7e1924ffe.jpg,/app/data/images/science-fiction/foundation-foundation-publication-order-1-9c08a42c.jpg
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,Science Fiction,https://books.toscrape.com/media/cache/b8/b2/b8b2956acc758a381beef87339c0a52f.jpg,/app/data/images/science-fiction/the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2-098c80ad.jpg
Ready Player One,19.07,4,Science Fiction,https://books.toscrape.com/media/cache/51/34/513418bd1c6114f3ea1fd703278e20ef.jpg,/app/data/images/science-fiction/ready-player-one-8d961c57.jpg
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,Science Fiction,https://books.toscrape.com/media/cache/ef/8b/ef8bc5adcd3bea8e8ba97be76d07a32a.jpg,/app/data/images/science-fiction/life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3-7d414617.jpg
Dune (Dune #1),54.86,1,Science Fiction,https://books.toscrape.com/media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,/app/data/images/science-fiction/dune-dune-1-63433684.jpg
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,Science Fiction,https://books.toscrape.com/media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,/app/data/images/science-fiction/do-androids-dream-of-electric-sheep-blade-runner-1-c98c649b.jpg
Three Wishes (River of Time: California #1),44.18,2,Science Fiction,https://books.toscrape.com/media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,/app/data/images/science-fiction/three-wishes-river-of-time-california-1-ea987a3d.jpg
The Last Girl (The Dominion Trilogy #1),36.26,2,Science Fiction,https://books.toscrape.com/media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,/app/data/images/science-fiction/the-last-girl-the-dominion-trilogy-1-90a165c0.jpg
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,Science Fiction,https://books.toscrape.com/media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,/app/data/images/science-fiction/having-the-barbarians-baby-ice-planet-barbarians-75-8386c32f.jpg
