title,price,rating,category,image,image_local
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,Science,https://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,/app/data/images/science/the-most-perfect-thing-inside-and-outside-a-birds-egg-15d9de57.jpg
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,Science,https://books.toscrape.com/media/cache/26/1c/261c4eaf957ae4aacf2229b482e76dbe.jpg,/app/data/images/science/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine-8c98968c.jpg
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,Science,https://books.toscrape.com/media/cache/68/ca/68caaf9ac41964d5167a3eb67c638393.jpg,/app/data/images/science/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics-bdb58d80.jpg
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,Science,https://books.toscrape.com/media/cache/56/97/5697f2f8f628129df01c5790985ffd9b.jpg,/app/data/images/science/tipping-point-for-planet-earth-how-close-are-we-to-the-edge-292bcf95.jpg
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1,Science,https://books.toscrape.com/media/cache/5e/7f/5e7f7d9913d4c95d33904770c518d537.jpg,/app/data/images/science/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality-ad1c17bc.jpg
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1,Science,https://books.toscrape.com/media/cache/33/4f/334fd0ebdf0c0192baf5914d199c53b5.jpg,/app/data/images/science/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engagin-39f07634.jpg
The Origin of Species,10.01,4,Science,https://books.toscrape.com/media/cache/da/0d/da0d13699a090516502257a4d7da623f.jpg,/app/data/images/science/the-origin-of-species-75c49681.jpg
The Grand Design,13.76,3,Science,https://books.toscrape.com/media/cache/08/a9/08a957eb34f8047862e225774c3bdde2.jpg,/app/data/images/science/the-grand-design-f16e2e10.jpg
Peak: Secrets from the New Science of Expertise,16.28,2,Science,https://books.toscrape.com/media/cache/83/ab/83ab65f938b24fa1a9cb47235be49b57.jpg,/app/data/images/science/peak-secrets-from-the-new-science-of-expertise-ed2d6db6.jpg
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,Science,https://books.toscrape.com/media/cache/69/c8/69c83860995cde393dbe6690ec3f1d4f.jpg,/app/data/images/science/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultima-8b8f994f.jpg
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,5,Science,https://books.toscrape.com/media/cache/f9/69/f969969428b505970a46272fdcea00d3.jpg,/app/data/images/science/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-t-523945f4.jpg
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2,Science,https://books.toscrape.com/media/cache/f8/bc/f8bcd489d33473e0819beaecccd5ebac.jpg,/app/data/images/science/surely-youre-joking-mr-feynman-adventures-of-a-curious-character-e1220dfd.jpg
Seven Brief Lessons on Physics,30.6,4,Science,https://books.toscrape.com/media/cache/c8/63/c863c222c130a1bc8685a1242dd2523d.jpg,/app/data/images/science/seven-brief-lessons-on-physics-2f035097.jpg
The Selfish Gene,29.45,1,Science,https://books.toscrape.com/media/cache/08/14/0814f26516fb72b7391d0a742b5928a2.jpg,/app/data/images/science/the-selfish-gene-b094b93d.jpg
