title,price,rating,category,image,image_local
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,/app/data/images/sequential-art/scott-pilgrims-precious-little-life-scott-pilgrim-1-3bfa143a.jpg
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,Sequential Art,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,/app/data/images/sequential-art/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2-73ca3704.jpg
This One Summer,19.49,4,Sequential Art,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,/app/data/images/sequential-art/this-one-summer-ad7d0c56.jpg
The Nameless City (The Nameless City #1),38.16,4,Sequential Art,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,/app/data/images/sequential-art/the-nameless-city-the-nameless-city-1-146bfe78.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,Sequential Art,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,/app/data/images/sequential-art/saga-volume-5-saga-collected-editions-5-63310cc2.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,Sequential Art,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,/app/data/images/sequential-art/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15-b1c16474.jpg
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Sequential Art,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,/app/data/images/sequential-art/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1-cf28bd78.jpg
"Pop Gun War, Volume 1: Gift",18.97,1,Sequential Art,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,/app/data/images/sequential-art/pop-gun-war-volume-1-gift-e7189678.jpg
Patience,10.16,3,Sequential Art,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,/app/data/images/sequential-art/patience-99063d84.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Sequential Art,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,/app/data/images/sequential-art/outcast-vol-1-a-darkness-surrounds-him-outcast-1-f54a2c29.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,Sequential Art,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,/app/data/images/sequential-art/orange-the-complete-collection-1-orange-the-complete-collection-1-1d0351f7.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,Sequential Art,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,/app/data/images/sequential-art/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8-056e4ed6.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,Sequential Art,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,/app/data/images/sequential-art/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4-0c29ca73.jpg
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,Sequential Art,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,/app/data/images/sequential-art/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12-b9d217aa.jpg
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,Sequential Art,https://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,/app/data/images/sequential-art/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5-abc78c8d.jpg
I am a Hero Omnibus Volume 1,54.63,3,Sequential Art,https://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,/app/data/images/sequential-art/i-am-a-hero-omnibus-volume-1-0b4ede90.jpg
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,Sequential Art,https://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,/app/data/images/sequential-art/giant-days-vol-2-giant-days-5-8-2806e760.jpg
Danganronpa Volume 1,51.99,4,Sequential Art,https://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,/app/data/images/sequential-art/danganronpa-volume-1-e4e3cf1a.jpg
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,Sequential Art,https://books.toscrape.com/media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg,/app/data/images/sequential-art/codename-baboushka-volume-1-the-conclave-of-death-66b20271.jpg
Camp Midnight,17.08,4,Sequential Art,https://books.toscrape.com/media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg,/app/data/images/sequential-art/camp-midnight-cf09e352.jpg
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,Sequential Art,https://books.toscrape.com/media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg,/app/data/images/sequential-art/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions-7c3c7cf2.jpg
The Shadow Hero (The Shadow Hero),33.14,1,Sequential Art,https://books.toscrape.com/media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg,/app/data/images/sequential-art/the-shadow-hero-the-shadow-hero-58990679.jpg
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Sequential Art,https://books.toscrape.com/media/cache/51/8c/518c184a793b751b43045637c8002eb7.jpg,/app/data/images/sequential-art/fables-vol-1-legends-in-exile-fables-1-a40fe9a3.jpg
Batman: The Long Halloween (Batman),36.5,2,Sequential Art,https://books.toscrape.com/media/cache/78/a7/78a7f184a4d6d62412861c68f1c3ad90.jpg,/app/data/images/sequential-art/batman-the-long-halloween-batman-6497772a.jpg
