title,price,rating,category,image,image_local
It's Only the Himalayas,45.17,2,Travel,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,/app/data/images/travel/its-only-the-himalayas-1f0bc2e1.jpg
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Travel,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,/app/data/images/travel/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond-a2fef9c9.jpg
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,Travel,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,/app/data/images/travel/see-america-a-celebration-of-our-national-parks-treasured-sites-5cb3f291.jpg
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,Travel,https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,/app/data/images/travel/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel-996d857f.jpg
Under the Tuscan Sun,37.33,3,Travel,https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,/app/data/images/travel/under-the-tuscan-sun-71df60b9.jpg
A Summer In Europe,44.34,2,Travel,https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,/app/data/images/travel/a-summer-in-europe-631c69f6.jpg
The Great Railway Bazaar,30.54,1,Travel,https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,/app/data/images/travel/the-great-railway-bazaar-dcb84636.jpg
A Year in Provence (Provence #1),56.88,4,Travel,https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,/app/data/images/travel/a-year-in-provence-provence-1-a734b90e.jpg
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,Travel,https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,/app/data/images/travel/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-s-f9cc0490.jpg
Neither Here nor There: Travels in Europe,38.95,3,Travel,https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,/app/data/images/travel/neither-here-nor-there-travels-in-europe-d897000f.jpg
"1,000 Places to See Before You Die",26.08,5,Travel,https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,/app/data/images/travel/1000-places-to-see-before-you-die-e1648d8b.jpg
