title,price,rating,category,image,image_local
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,Womens Fiction,https://books.toscrape.com/media/cache/5f/72/5f72c8a0d5a7292e2929a354ec8a022f.jpg,/app/data/images/womens-fiction/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that-a4bc18c5.jpg
Will You Won't You Want Me?,13.86,3,Womens Fiction,https://books.toscrape.com/media/cache/16/e3/16e3ca741956485119251e7442a67e2e.jpg,/app/data/images/womens-fiction/will-you-wont-you-want-me-16813aea.jpg
Keep Me Posted,20.46,4,Womens Fiction,https://books.toscrape.com/media/cache/ae/ac/aeac003461b89c7ef826251d940b2afc.jpg,/app/data/images/womens-fiction/keep-me-posted-ece5e47f.jpg
Grey (Fifty Shades #4),48.49,4,Womens Fiction,https://books.toscrape.com/media/cache/bb/ee/bbeeab4c4ce572c0e9764e3a96c6d4a5.jpg,/app/data/images/womens-fiction/grey-fifty-shades-4-942e685b.jpg
Meternity,43.58,3,Womens Fiction,https://books.toscrape.com/media/cache/39/e3/39e33ebef2d7a35dd6899541eba8306d.jpg,/app/data/images/womens-fiction/meternity-858ec62e.jpg
Some Women,13.73,5,Womens Fiction,https://books.toscrape.com/media/cache/27/b7/27b7f4ec590965b5acc15dc4b1376684.jpg,/app/data/images/womens-fiction/some-women-0fe106b3.jpg
Shopaholic Ties the Knot (Shopaholic #3),48.39,5,Womens Fiction,https://books.toscrape.com/media/cache/ac/ba/acba5e4e1813b8c1fff4890f1efef3ab.jpg,/app/data/images/womens-fiction/shopaholic-ties-the-knot-shopaholic-3-ffe2a1a7.jpg
Can You Keep a Secret?,21.94,1,Womens Fiction,https://books.toscrape.com/media/cache/72/73/7273ff1bfe3b0a6aab7f54ddf9be7b44.jpg,/app/data/images/womens-fiction/can-you-keep-a-secret-46e1ad46.jpg
Twenties Girl,42.8,2,Womens Fiction,https://books.toscrape.com/media/cache/a0/fa/a0fa38039f6a674a7c89dfe2be866259.jpg,/app/data/images/womens-fiction/twenties-girl-ec87a6d8.jpg
The Undomestic Goddess,45.75,4,Womens Fiction,https://books.toscrape.com/media/cache/13/8f/138f4cf84be250d08e1f5c1db3643dbc.jpg,/app/data/images/womens-fiction/the-undomestic-goddess-373eaff1.jpg
The Nanny Diaries (Nanny #1),52.53,5,Womens Fiction,https://books.toscrape.com/media/cache/63/5f/635fb981e464f7427787824b20a15e71.jpg,/app/data/images/womens-fiction/the-nanny-diaries-nanny-1-fa0de72d.jpg
The Devil Wears Prada (The Devil Wears Prada #1),44.29,1,Womens Fiction,https://books.toscrape.com/media/cache/87/d3/87d34d376555dd0cb75030d1059cc144.jpg,/app/data/images/womens-fiction/the-devil-wears-prada-the-devil-wears-prada-1-5f854e6e.jpg
Something Borrowed (Darcy & Rachel #1),48.96,5,Womens Fiction,https://books.toscrape.com/media/cache/6d/6d/6d6d5799190b4f9ef89f3bbc8b67d60d.jpg,/app/data/images/womens-fiction/something-borrowed-darcy-rachel-1-12f97872.jpg
Something Blue (Darcy & Rachel #2),54.62,1,Womens Fiction,https://books.toscrape.com/media/cache/72/f5/72f5ed312bc82afa386c9cd48d4e36dd.jpg,/app/data/images/womens-fiction/something-blue-darcy-rachel-2-73d25344.jpg
I've Got Your Number,19.69,1,Womens Fiction,https://books.toscrape.com/media/cache/b2/df/b2df826432771838819db89c20e20609.jpg,/app/data/images/womens-fiction/ive-got-your-number-6a7cef0b.jpg
The Edge of Reason (Bridget Jones #2),19.18,4,Womens Fiction,https://books.toscrape.com/media/cache/db/34/db341aa83daa76cd9f9bd2c86ccb5dba.jpg,/app/data/images/womens-fiction/the-edge-of-reason-bridget-jones-2-78ea9719.jpg
Bridget Jones's Diary (Bridget Jones #1),29.82,1,Womens Fiction,https://books.toscrape.com/media/cache/0c/32/0c329cbd2adf4e0dc825f892106673b2.jpg,/app/data/images/womens-fiction/bridget-joness-diary-bridget-jones-1-c8ee916b.jpg
