title,price,rating,category,image,image_local
The Requiem Red,22.65,1,Young Adult,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,/app/data/images/young-adult/the-requiem-red-717262fa.jpg
Set Me Free,17.46,5,Young Adult,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,/app/data/images/young-adult/set-me-free-cf2f30c0.jpg
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,Young Adult,https://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,/app/data/images/young-adult/the-natural-history-of-us-the-fine-art-of-pretending-2-631773bd.jpg
Obsidian (Lux #1),14.86,2,Young Adult,https://books.toscrape.com/media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg,/app/data/images/young-adult/obsidian-lux-1-9b4fdfbc.jpg
Burning,28.81,3,Young Adult,https://books.toscrape.com/media/cache/26/95/269507c7bb35d2cec9b61a03d1c28e67.jpg,/app/data/images/young-adult/burning-ec9bc26f.jpg
A Fierce and Subtle Poison,28.13,4,Young Adult,https://books.toscrape.com/media/cache/12/f1/12f1963957f27fa83d51f76b183ef490.jpg,/app/data/images/young-adult/a-fierce-and-subtle-poison-12360f5e.jpg
Scarlett Epstein Hates It Here,43.55,5,Young Adult,https://books.toscrape.com/media/cache/0f/d3/0fd306891f8fd3196653022fd67d6c87.jpg,/app/data/images/young-adult/scarlett-epstein-hates-it-here-36ed7b48.jpg
"Nightingale, Sing",38.28,1,Young Adult,https://books.toscrape.com/media/cache/18/08/18086e581ad354aa65f945c2b5c51350.jpg,/app/data/images/young-adult/nightingale-sing-14a96a2f.jpg
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,Young Adult,https://books.toscrape.com/media/cache/f8/54/f85417465a73e33604624205ba8306cc.jpg,/app/data/images/young-adult/library-of-souls-miss-peregrines-peculiar-children-3-6a97c9ea.jpg
Frostbite (Vampire Academy #2),29.99,5,Young Adult,https://books.toscrape.com/media/cache/71/76/7176317f1915fa0658bb2fe400441207.jpg,/app/data/images/young-adult/frostbite-vampire-academy-2-00bf5700.jpg
Wild Swans,14.36,2,Young Adult,https://books.toscrape.com/media/cache/bb/72/bb723ad463531c602ad8bcb244253bf3.jpg,/app/data/images/young-adult/wild-swans-44e60f79.jpg
Until Friday Night (The Field Party #1),46.31,2,Young Adult,https://books.toscrape.com/media/cache/19/cf/19cf50aea5bf0e8f4bc016f3745b3dfe.jpg,/app/data/images/young-adult/until-friday-night-the-field-party-1-90b3ecf1.jpg
This Is Where It Ends,27.12,2,Young Adult,https://books.toscrape.com/media/cache/18/0b/180bfe1902cb3c0eb77d7c712efa2a96.jpg,/app/data/images/young-adult/this-is-where-it-ends-32c1bcef.jpg
The Darkest Lie,35.35,5,Young Adult,https://books.toscrape.com/media/cache/1d/3c/1d3c05b772ab846c111970232360d2c5.jpg,/app/data/images/young-adult/the-darkest-lie-5e4afde0.jpg
My Kind of Crazy,40.36,1,Young Adult,https://books.toscrape.com/media/cache/46/6e/466e9636819aad1126ac6cefb5313ba8.jpg,/app/data/images/young-adult/my-kind-of-crazy-648efc47.jpg
Don't Get Caught,55.35,1,Young Adult,https://books.toscrape.com/media/cache/b2/df/b2df2ea409c5cf28538b67aff424b11f.jpg,/app/data/images/young-adult/dont-get-caught-d844be89.jpg
Catching Jordan (Hundred Oaks),50.83,3,Young Adult,https://books.toscrape.com/media/cache/ad/ac/adac97366586d261feab30bf5220756e.jpg,/app/data/images/young-adult/catching-jordan-hundred-oaks-083d4e94.jpg
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,Young Adult,https://books.toscrape.com/media/cache/61/1a/611aba0ef5b859ba1977ef30677b0194.jpg,/app/data/images/young-adult/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-dis-41665b6b.jpg
The Epidemic (The Program 0.6),14.44,5,Young Adult,https://books.toscrape.com/media/cache/87/cd/87cd652c35e2a78535c83becae33cff2.jpg,/app/data/images/young-adult/the-epidemic-the-program-06-0e332fd5.jpg
Stars Above (The Lunar Chronicles #4.5),48.05,2,Young Adult,https://books.toscrape.com/media/cache/fd/5b/fd5b14399052ab552e240ed18ab03c6d.jpg,/app/data/images/young-adult/stars-above-the-lunar-chronicles-45-b8e75bc7.jpg
No Love Allowed (Dodge Cove #1),54.65,4,Young Adult,https://books.toscrape.com/media/cache/70/3e/703e053877204a396ec6e7beac863118.jpg,/app/data/images/young-adult/no-love-allowed-dodge-cove-1-39aa1506.jpg
"Exit, Pursued by a Bear",51.34,4,Young Adult,https://books.toscrape.com/media/cache/ca/99/ca99bafb2a75d4fadb8d64efed26316f.jpg,/app/data/images/young-adult/exit-pursued-by-a-bear-ccd94e95.jpg
The Alien Club,54.4,1,Young Adult,https://books.toscrape.com/media/cache/93/d0/93d01bc6bce58e8efbf560e9e3dc3379.jpg,/app/data/images/young-adult/the-alien-club-5b09812d.jpg
Don't Forget Steven,33.23,1,Young Adult,https://books.toscrape.com/media/cache/e7/75/e775bf9ea6343b2ee0be5166bb445bd2.jpg,/app/data/images/young-adult/dont-forget-steven-e0e39021.jpg
South of Sunshine,28.93,1,Young Adult,https://books.toscrape.com/media/cache/09/11/09118b974f3685483f3e4debd1f97c90.jpg,/app/data/images/young-adult/south-of-sunshine-9c76645f.jpg
